Date,Open,High,Low,Close
19461205,14.64,14.64,14.64,14.64
19461206,14.7,14.7,14.7,14.7
19461209,15.32,15.32,15.32,15.32
19461210,15.32,15.32,15.32,15.32
19461211,15.36,15.36,15.36,15.36
19461212,15.15,15.15,15.15,15.15
19461213,15.17,15.17,15.17,15.17
19461216,15.24,15.24,15.24,15.24
19461217,15.18,15.18,15.18,15.18
19461218,15.21,15.21,15.21,15.21
19461219,15.45,15.45,15.45,15.45
19461220,15.5,15.5,15.5,15.5
19461223,15.41,15.41,15.41,15.41
19461224,15.37,15.37,15.37,15.37
19461226,15.21,15.21,15.21,15.21
19461227,15.19,15.19,15.19,15.19
19461230,15.17,15.17,15.17,15.17
19461231,15.3,15.3,15.3,15.3
19470102,15.2,15.2,15.2,15.2
19470103,15.26,15.26,15.26,15.26
19470106,15.44,15.44,15.44,15.44
19470107,15.32,15.32,15.32,15.32
19470108,15.41,15.41,15.41,15.41
19470109,15.44,15.44,15.44,15.44
19470110,15.24,15.24,15.24,15.24
19470113,14.8,14.8,14.8,14.8
19470114,14.87,14.87,14.87,14.87
19470115,14.77,14.77,14.77,14.77
19470116,14.78,14.78,14.78,14.78
19470117,15.07,15.07,15.07,15.07
19470120,15.02,15.02,15.02,15.02
19470121,14.97,14.97,14.97,14.97
19470122,15.04,15.04,15.04,15.04
19470123,15.19,15.19,15.19,15.19
19470124,15.21,15.21,15.21,15.21
19470127,15.34,15.34,15.34,15.34
19470128,15.47,15.47,15.47,15.47
19470129,15.65,15.65,15.65,15.65
19470130,15.6,15.6,15.6,15.6
19470131,15.66,15.66,15.66,15.66
19470203,15.8,15.8,15.8,15.8
19470204,15.83,15.83,15.83,15.83
19470205,15.92,15.92,15.92,15.92
19470206,15.86,15.86,15.86,15.86
19470207,16.120001,16.120001,16.120001,16.120001
19470210,16.049999,16.049999,16.049999,16.049999
19470211,16.139999,16.139999,16.139999,16.139999
19470213,15.93,15.93,15.93,15.93
19470214,15.86,15.86,15.86,15.86
19470217,15.88,15.88,15.88,15.88
19470218,15.88,15.88,15.88,15.88
19470219,15.69,15.69,15.69,15.69
19470220,15.72,15.72,15.72,15.72
19470221,15.8,15.8,15.8,15.8
19470224,15.67,15.67,15.67,15.67
19470225,15.47,15.47,15.47,15.47
19470226,15.3,15.3,15.3,15.3
